AreaCB AreaCH PerimeterCH MaxD MinD AverageD PointsCH AverageA slice0 slice1 slice2 slice3 slice4 slice5 slice6 slice7 slice8 slice9 class
-0.00448915 -0.884513 1.14715 22.8254 7.81025 15.8238 0.146789 1.8302 13 14 11 5 6 13 21 16 4 6 0
-0.00774506 -0.911847 1.07097 39.8246 6.32456 22.8603 0.138889 2.17826 30 8 4 5 27 27 11 4 6 22 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
3.72684e-05 1 1 2.23607 1 1.55519 0.857143 0.300348 1 1 1 1 1 0 0 1 0 1 0
-3.38804e-06 -1 1 1.41421 1 1.13807 1 0.785398 1 1 0 0 0 0 0 0 1 0 0
-0.000884278 -0.765396 1.06934 12.0416 2.82843 7.39718 0.176471 1.08011 2 10 8 2 2 2 7 8 9 1 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.00223272 -0.851421 1.24235 14.1421 6.7082 10.437 0.160494 1.22869 5 9 7 8 6 10 9 6 7 14 0
-0.000142298 -0.913043 1.03337 5.38516 1 3.14887 0.227273 0.0174813 4 2 1 2 6 1 1 1 1 3 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.000413341 -0.897059 1.04539 8.06226 2 4.86632 0.205882 -0.0395306 3 6 5 3 2 3 4 5 2 1 0
-0.0073351 -0.94459 1.07758 21.9545 15.5242 18.6585 0.145299 1.07217 11 13 11 12 8 11 13 13 12 13 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.000782637 -0.927711 1.03892 9.43398 4.24264 6.3103 0.324324 0.682753 7 3 3 3 4 4 3 3 3 4 0
-0.00141959 -0.899142 1.0515 16.4012 3.60555 9.55607 0.213115 1.87248 3 2 8 13 4 2 4 10 11 4 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.00373023 -0.932261 1.05046 22.4722 9 13.9223 0.142857 -0.579115 8 8 6 12 16 6 7 10 9 9 0
-0.0927001 -0.7064 1.35394 119.62 29.9666 73.3347 0.0195804 -1.42977 99 35 27 116 44 104 92 23 60 115 4
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.154759 -0.652981 1.31259 190.539 30.1496 109.471 0.015873 0.12578 187 83 36 41 147 236 32 22 46 178 4
2.71043e-05 1 1 2 1 1.30474 1 1.5708 1 0 1 0 0 1 1 1 1 0 0
-0.0862086 -0.742075 1.29489 119.57 28.4253 70.8572 0.0184332 -1.52999 104 54 26 31 95 77 105 28 43 88 4
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
2.71043e-05 1 1 2 1 1.30474 1 0 1 1 1 1 0 1 0 1 0 0 0
2.71043e-05 1 1 2 1 1.30474 1 1.5708 1 0 1 0 0 1 1 1 1 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-8.8089e-05 -0.787879 1.04272 4.24264 1 2.44828 0.4375 0.637343 3 3 0 1 1 3 1 1 1 2 0
-0.000128745 -0.926829 1.02026 5.09902 1 2.88814 0.3 2.01652 2 1 0 5 2 2 1 1 4 2 0
-0.0604833 -0.727406 1.27666 90.471 30.4138 58.8776 0.0230769 -1.68894 20 57 65 64 22 31 85 34 110 32 4
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.0968471 -0.619004 1.36832 132.31 26.1725 78.8661 0.0169492 -1.5444 144 37 18 42 123 48 160 38 33 124 4
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.0952005 -0.639006 1.25433 152.118 3.60555 86.2586 0.027137 0.754114 33 40 88 210 3 3 2 165 152 41 4
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
3.72684e-05 1 1 2.23607 0 1.61437 0.857143 0.785398 1 1 1 0 0 0 0 1 2 1 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.149114 -0.636858 1.50767 180.801 31.0161 100.204 0.0155039 1.27719 60 48 55 197 119 21 26 147 228 131 1
3.72684e-05 1 1 2.23607 1 1.55519 0.857143 0.300348 1 1 1 1 1 0 0 1 0 1 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.000999471 -0.954693 1.04875 8.94427 5 6.96727 0.292683 -0.288194 4 5 5 4 3 5 5 4 3 3 0
-0.00265622 -0.854962 1.17592 18.6011 5 11.6969 0.186047 -0.545899 7 9 5 10 19 8 5 7 8 8 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.096261 -0.714354 1.2892 118.903 30.6105 73.6016 0.0230769 -2.09573 130 94 36 27 68 93 85 62 37 18 1
-0.000135522 -0.833333 1.06113 6.7082 1 3.13295 0.35 0.853176 3 1 2 1 2 1 1 1 2 6 0
-1.01641e-05 -0.3 1.17667 4.12311 0 1.88094 0.454545 0.513862 2 5 0 0 0 1 1 0 0 2 0
-6.09847e-05 -0.947368 1.01216 3.60555 0 2.1059 0.357143 1.29018 3 0 0 0 0 3 2 2 1 3 0
-0.00101302 -0.934375 1.04727 10.8167 5 7.17141 0.222222 0.862968 5 4 4 4 4 4 4 2 7 7 0
-0.00255458 -0.856818 1.17258 17.8045 4.12311 11.2469 0.178571 -1.01019 9 8 6 6 10 14 9 2 12 8 0
-1.01641e-05 -1 1 1.41421 0 0.882843 0.8 0.392699 1 1 0 0 1 0 0 0 0 2 0
-0.0753873 -0.710622 1.54095 106.283 24.1661 65.2871 0.0217077 -1.52703 22 90 82 40 24 50 112 165 40 66 1
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
2.71043e-05 1 1 2 1 1.30474 1 1.5708 1 0 1 0 0 1 1 1 1 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.000111805 -0.825 1.03368 4.24264 1 2.55212 0.352941 0.142069 0 5 2 2 2 0 2 1 2 1 0
-0.000457385 -0.865385 1.09489 9.21954 2 5.38183 0.314286 1.83843 2 1 2 8 4 2 1 4 7 4 0
